,aRarity,mRarity
1537,60.61,4.52
1539,133.6,11.26
1543,98.89,65.68
1544,147.89,217.15
1545,95.25,10.91
1546,131.47,37.12
1547,1224.7,439.01
1553,122.56,19.05
1555,96.44,55.31
1556,225.03,152.6
1557,125.51,272.84
1558,324.24,142.58
1559,311.16,7.3
1566,88.13,10.25
1567,127.34,129.51
1568,308.92,1839.46
1569,298.31,54.32
1570,538.1,3628.16
1571,134.36,88.34
1573,110.68,56.18
1574,167.92,448.36
1575,183.91,115.77
1577,118.73,39.31
1586,214.53,601.46
1590,249.07,2551.99
1592,180.19,136.1
1593,317.02,795.35
1596,158.18,523.74
1598,278.68,57.87
1599,124.0,28.77
1600,104.69,88.51
1601,128.91,239.15
1602,171.14,104.69
1603,114.13,113.35
1604,285.64,467.41
1605,88.45,73.47
1606,66.31,14.02
1611,154.92,70.62
1612,223.46,29.07
1613,1041.67,2446.98
1617,128.69,26.1
1619,110.11,13.8
1620,937.82,365.24
1621,208.58,58.33
1622,346.59,78.64
1624,185.12,33.06
1625,687.32,1340.72
1627,241.41,79.88
1628,190.8,397.74
1629,108.8,20.67
1634,416.02,9961.37
1635,69.71,26.07
1636,164.68,186.07
1637,125.23,32.06
1638,164.55,695.33
1640,125.35,58.81
1641,123.62,61.35
1643,278.58,17.55
1645,130.44,172.01
1648,375.32,218.59
1651,84.59,58.84
1655,235.47,373.51
1656,247.51,80.27
1659,115.63,97.2
1660,155.81,98.98
1664,67.49,13.95
1668,106.97,93.05
1669,104.5,276.08
1671,82.96,6.07
1673,146.39,10.97
1674,171.93,237.11
1676,184.95,716.27
1677,130.86,25.25
1678,119.41,43.95
1681,109.36,67.07
1682,64.61,8.58
1683,120.06,23.84
1685,222.35,78.87
1694,85.95,77.21
1695,280.66,378.97
1696,252.02,205.68
1697,121.02,203.8
1698,213.26,1234.22
1705,110.89,40.3
1707,305.31,50.07
1708,121.9,36.75
1709,124.66,135.77
1712,192.68,784.51
1714,480.95,4092.23
1715,1032.15,104.43
1717,548.1,242.85
1721,359.92,656.08
1730,155.66,24.96
1731,193.31,21.9
1732,133.36,88.92
1737,119.56,32.97
1738,86.97,21.22
1739,246.0,155.61
1740,834.03,2158.16
1741,114.68,150.19
1743,127.0,63.88
1744,335.78,1678.95
1746,138.01,78.02
1747,104.54,52.23
1754,107.28,91.77
1755,160.46,32.01
1760,164.95,192.05
1761,84.72,58.52
1763,67.92,21.99
1768,98.16,13.27
1769,158.46,61.55
1771,239.42,217.69
1773,186.16,767.58
1774,604.32,38.24
1775,89.33,49.17
1776,542.42,180.49
1777,450.88,387.33
1778,167.47,463.21
1781,52.96,6.11
1784,58.2,7.22
1787,179.1,48.16
1790,261.41,216.13
1791,154.94,101.48
1792,148.64,62.38
1794,174.23,136.88
1805,120.92,27.49
1806,187.65,353.53
1807,107.53,5.78
1812,179.91,26.06
1821,62.82,3.17
1823,120.98,23.96
1824,188.4,271.94
1826,204.73,332.97
1827,92.38,47.92
1828,694.61,921.41
1830,150.15,26.68
1834,268.0,2871.06
1836,140.11,13.34
1839,123.24,103.97
1840,195.25,43.01
1841,119.14,36.29
1842,332.71,647.26
1843,140.39,71.51
1851,138.37,80.35
1853,106.86,30.77
1854,68.93,9.89
1855,107.31,79.82
1857,116.57,29.79
1858,254.73,237.45
1863,108.75,65.2
1864,63.02,7.47
1865,125.41,37.03
1866,224.62,1291.64
1867,182.52,137.09
1868,146.65,72.32
1869,1798.94,21.77
1870,71.12,38.88
1872,164.67,276.23
1883,902.94,104.29
1889,74.19,13.67
1890,1059.38,37601.73
1891,198.1,45.77
1892,213.26,569.43
1893,144.1,19.44
1894,126.49,85.43
1896,226.81,863.52
1897,76.33,4.17
1898,103.49,28.3
1899,282.12,582.66
1900,221.07,28.94
1906,281.29,25.37
1917,79.51,28.9
1919,63.57,11.53
1920,139.03,124.02
1922,332.85,1654.69
1925,69.51,4.76
1928,124.7,115.58
1930,601.05,266.1
1931,124.99,26.45
1932,140.4,319.3
1933,100.59,39.68
1934,127.74,117.82
1935,96.98,93.7
1936,194.44,215.07
1942,332.45,96.25
1943,106.7,62.8
1944,272.93,28.13
1947,153.67,193.69
1952,101.76,10.91
1953,218.07,745.3
1954,164.5,211.28
1956,168.86,373.27
1958,59.93,10.9
1959,785.16,250.83
1961,199.99,63.38
1962,71.81,48.48
1964,884.19,442.07
1965,231.37,99.6
1970,219.21,361.04
1972,108.23,48.85
1974,109.44,44.26
1975,279.67,510.0
1976,119.71,12.85
1978,185.76,2011.79
1979,188.27,167.15
1981,61.62,16.88
1982,74.39,8.47
1983,142.95,97.85
1984,149.52,649.43
1985,246.17,407.82
1986,95.2,44.2
1987,102.27,5.63
1991,292.84,221.68
1992,1020.64,805.92
