,aRarity,mRarity
25521,143.61,50.32
25522,76.1,22.64
25523,53.06,20.05
25524,44.25,12.89
25525,76.61,34.91
25526,96.27,66.51
25527,58.15,19.28
25528,93.25,29.02
25529,218.91,131.7
25530,74.03,38.8
25531,331.46,148.59
25532,206.59,69.95
25533,67.58,26.21
25534,72.83,34.48
25535,73.27,44.54
25536,79.96,36.08
25537,81.93,39.25
25538,54.1,14.76
25539,91.43,18.41
25540,152.75,154.2
25541,60.49,31.07
25542,70.59,36.75
25543,84.86,85.6
25544,58.56,34.48
25545,62.21,24.86
25546,69.97,30.11
25547,125.88,54.32
25548,120.62,101.27
25549,178.29,144.6
25550,111.2,62.43
25551,418.83,78.82
25552,150.99,19.09
25553,102.32,78.8
25554,139.43,40.63
25555,46.65,17.82
25556,45.62,14.08
25557,137.06,50.31
25558,60.3,20.66
25559,207.57,112.62
25560,69.87,46.59
25561,52.25,14.98
25562,82.89,37.59
25563,69.53,31.71
25564,135.18,128.41
25565,83.47,57.32
25566,172.92,78.25
25567,94.23,32.04
25568,74.73,34.87
25569,90.21,53.82
25570,59.78,25.21
25571,87.67,72.4
25572,275.97,90.88
25573,58.73,26.21
25574,163.82,29.23
25575,97.97,29.08
25576,280.14,49.2
25577,271.52,80.94
25578,84.26,49.96
25579,80.93,59.43
25580,56.84,15.79
25581,61.43,38.32
25582,53.94,21.66
25583,94.44,109.2
25584,54.43,18.31
25585,118.87,37.66
25586,108.47,85.23
25587,80.46,29.81
25588,61.88,28.57
25589,112.14,73.67
25590,79.52,46.6
25591,89.6,42.23
25592,98.9,64.07
25593,93.01,29.56
25594,69.98,48.26
25595,79.75,64.54
25596,64.72,40.97
25597,85.94,39.63
25598,63.07,25.82
25599,89.95,26.85
25600,52.91,20.67
25601,157.52,51.08
25602,56.84,30.74
25603,85.58,53.79
25604,90.37,59.25
25605,128.29,103.11
25606,74.34,33.21
25607,294.43,91.08
25608,87.67,58.89
25609,106.7,46.19
25610,75.31,30.92
25611,157.37,53.34
25612,251.88,66.48
25613,275.88,31.83
25614,77.38,33.31
25615,51.11,21.07
25616,113.41,57.01
25617,115.73,25.59
25618,87.33,18.76
25619,182.63,62.95
25620,101.66,44.16
25621,488.75,146.97
25622,109.5,48.73
25623,72.47,26.63
25624,114.58,26.47
25625,182.53,85.23
25626,584.17,95.47
25627,95.71,67.56
25628,125.58,77.35
25629,82.17,42.41
25630,87.62,112.94
25631,121.16,67.94
25632,59.85,22.57
25633,49.26,18.32
25634,48.7,14.5
25635,110.51,37.98
25636,734.46,135.52
25637,100.46,37.85
25638,62.29,25.33
25639,80.34,46.18
25640,94.87,63.82
25641,51.13,15.74
25642,64.92,29.65
25643,70.93,30.08
25644,57.88,26.06
25645,85.82,53.0
25646,113.38,85.25
25647,105.16,82.91
25648,54.23,24.49
25649,67.22,23.38
25650,198.52,332.05
25651,50.97,15.52
25652,55.66,18.93
25653,462.89,110.02
25654,70.89,27.02
25655,117.29,37.61
25656,318.54,54.6
25657,107.8,38.43
25658,61.8,27.07
25659,108.21,85.27
25660,104.63,37.68
25661,59.43,14.58
25662,63.56,27.96
25663,111.88,30.26
25664,56.15,23.6
25665,63.36,35.1
25666,90.25,27.15
25667,120.63,46.54
25668,87.66,65.19
25669,129.66,111.39
25670,110.41,30.48
25671,135.86,19.35
25672,822.3,368.4
25673,274.0,159.51
25674,67.74,28.91
25675,73.93,30.78
25676,252.28,148.57
25677,88.62,41.24
25678,73.39,36.95
25679,100.12,35.22
25680,4934.07,301.35
25681,410.2,109.2
25682,69.15,23.69
25683,62.07,24.24
25684,92.01,34.04
25685,78.85,50.78
25686,111.33,49.28
25687,307.12,39.31
25688,109.32,202.63
25689,95.28,38.95
25690,107.08,32.57
25691,76.03,50.19
25692,76.49,19.11
25693,55.03,21.73
25694,138.88,185.81
25695,55.81,23.6
25696,67.6,39.13
25697,87.58,34.75
25698,76.91,20.43
25699,128.5,21.27
25700,593.12,72.16
25701,86.5,33.2
25702,98.8,45.67
25703,100.69,36.05
25704,159.85,16.19
25705,108.44,37.88
25706,1126.47,114.97
25707,112.86,202.13
25708,55.12,27.37
25709,171.9,34.17
25710,322.39,75.16
25711,81.93,43.66
25712,59.66,19.19
25713,92.72,28.39
25714,112.42,63.28
25715,169.64,43.52
25716,65.99,15.64
25717,63.36,15.92
25718,82.02,32.81
25719,68.1,57.81
25720,199.37,184.26
25721,157.82,110.79
25722,83.42,80.64
25723,85.39,18.15
25724,118.21,80.23
25725,124.84,200.23
25726,70.16,32.12
25727,315.69,67.81
25728,75.21,20.11
25729,58.59,29.83
25730,82.36,52.03
25731,118.98,99.14
25732,69.38,40.56
25733,42.39,11.79
25734,109.58,27.95
25735,62.19,12.31
25736,114.63,92.18
25737,94.59,27.29
25738,93.1,70.68
25739,90.96,28.53
25740,139.02,25.62
25741,113.13,73.15
25742,72.33,36.52
25743,69.07,21.11
25744,105.45,125.42
25745,107.23,114.04
25746,110.0,46.56
25747,58.94,19.91
25748,70.63,45.74
25749,101.69,91.41
25750,54.78,23.29
25751,81.04,37.7
25752,57.14,25.04
25753,163.89,37.69
25754,80.39,26.39
25755,71.28,27.83
25756,100.84,132.78
25757,46.24,13.74
25758,410.62,49.93
25759,103.15,34.46
25760,201.15,41.94
25761,100.29,34.14
25762,115.85,45.21
25763,323.78,58.68
25764,136.86,37.79
25765,61.61,21.38
25766,164.46,36.21
25767,99.21,99.69
25768,69.33,39.71
25769,62.85,50.86
25770,91.72,129.88
25771,66.39,44.12
25772,79.07,43.9
25773,96.25,40.86
25774,367.85,118.11
25775,88.47,49.41
25776,73.8,44.15
25777,110.33,77.0
25778,180.39,88.12
25779,68.35,58.5
25780,72.43,24.13
25781,111.61,50.5
25782,62.62,33.65
25783,66.83,27.45
25784,103.92,92.15
25785,77.28,29.42
25786,322.93,128.64
25787,71.87,28.22
25788,83.55,58.74
25789,64.56,15.06
25790,107.52,45.2
25791,69.32,18.07
25792,148.67,74.98
25793,114.07,59.26
25794,314.46,136.37
25795,67.48,18.63
25796,110.66,78.0
25797,56.98,30.73
25798,80.72,14.75
25799,135.15,133.2
25800,66.06,30.84
25801,58.39,31.38
25802,86.55,17.53
25803,63.39,33.43
25804,63.97,42.36
25805,110.47,40.57
25806,68.25,28.21
25807,72.17,51.87
25808,791.96,183.88
25809,75.77,36.86
25810,117.4,77.17
25811,51.71,16.32
25812,76.41,23.67
25813,163.11,82.76
25814,72.25,36.75
25815,262.81,196.05
25816,110.08,105.97
25817,86.75,97.78
25818,429.53,128.75
25819,201.8,66.28
25820,50.19,18.88
25821,80.7,45.9
25822,69.0,25.2
25823,61.87,35.59
25824,72.43,41.1
25825,65.45,25.05
25826,92.92,46.42
25827,87.5,38.2
25828,132.05,112.16
25829,166.74,28.68
25830,51.22,19.95
25831,78.36,33.83
25832,175.9,82.4
25833,206.81,67.17
25834,64.56,15.56
25835,103.89,36.39
25836,54.15,18.29
25837,55.85,24.8
25838,323.93,95.16
25839,86.55,95.28
25840,71.98,33.71
25841,81.43,29.15
25842,410.33,57.23
25843,148.98,115.0
25844,143.24,30.61
25845,59.18,32.16
25846,81.68,40.46
25847,318.21,110.1
25848,88.29,53.52
25849,124.43,32.28
25850,76.62,34.99
25851,251.4,24.51
25852,74.89,23.71
25853,55.65,28.26
25854,78.86,34.75
25855,71.63,28.61
25856,61.34,38.14
25857,330.85,54.43
25858,89.95,20.83
25859,65.3,27.13
25860,75.66,44.1
25861,85.32,50.26
25862,103.27,50.53
25863,80.8,31.26
25864,71.7,29.39
25865,71.37,27.84
25866,217.44,156.77
25867,88.08,47.98
25868,86.41,46.01
25869,64.46,25.28
25870,77.27,50.57
25871,169.5,24.14
25872,125.02,132.52
25873,74.78,27.25
25874,55.06,22.6
25875,285.88,89.39
25876,59.09,22.18
25877,80.04,78.05
25878,77.76,39.36
25879,83.47,61.4
25880,79.56,58.07
25881,115.49,78.8
25882,194.44,34.51
25883,146.6,197.79
25884,68.76,48.26
25885,96.64,38.22
25886,97.1,69.04
25887,116.49,177.92
